Command: /home/jay/Desktop/graduation_project/i2c/./simv -l sim.log
Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Jan 23 11:39 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file '/home/jay/Desktop/graduation_project/i2c/i2c_eeprom_test.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
Time=0 | CMD_VALID=0 | CMD_RW=0 | BUSY=0 | DONE=0 | ADDR=0x000 | WR_DATA=0x00 | RD_DATA=0x00 | SDA=1 | SCL=1
Time=10205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=11205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=12205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=13205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=14205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=15205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=16205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=17205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=18205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=18305000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=19205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=20205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=22205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=23205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=24205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=25205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=26205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=27205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=28205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=29205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=30205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=31205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=32205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=33205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=34205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=35205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=36205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=37205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=37305000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=38205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=39205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=42205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=43205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=44205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=45205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=46205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=47205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=48205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=49205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=50205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=51205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=52205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=53205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=54205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=55205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=56205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=57205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=58205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=58305000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=59205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=60205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
eeprm---memory[0]=aa
Time=61205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=62205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=0 | DONE=1 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Write completed at time 62215000
Time=62215000 | CMD_VALID=0 | CMD_RW=0 | BUSY=0 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1

--- Test 2: Read from address 0x000 ---
Time=63215000 | CMD_VALID=1 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=63225000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=64215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=65215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=66215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=67215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=68215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=69215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=70215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=71215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=72215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=73215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=74215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=75215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=76215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=77215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=78215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=79215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=80215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=81215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=81315000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=82215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=83215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=85215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=86215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=87215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=88215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=89215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=90215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=91215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=92215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=93215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=94215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=95215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=96215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=97215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=98215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=99215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=100215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=100315000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=101215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=102215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=103215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=104215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=105215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=106215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=107215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=108215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=109215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=110215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=111215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=112215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=113215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=114215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=115215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=116215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=117215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=118215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=119215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=120215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=121215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=121315000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=122215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=123215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=123315000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=125215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=126215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=126315000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=127215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=128215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=128315000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=129215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=130215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=130315000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=131215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=132215000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=132315000 | CMD_VALID=0 | CMD_RW=1 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
